Local Time,Device Name,deveui,Freq[Hz],BW(kHz),channel,coderate,RSSI(dBm),snrSNR(dB),SF,Temperature (F),Humidity (%),dr,fcnt,Jamming
2/2/2023 15:59,Mote02,qGEKNDExiAs=,904300000,125,2,4/5,-65,8.5,10,68.5,27.04,0,12328,1
2/2/2023 15:59,Mote05,qGEKMzA3fwE=,904300000,125,2,4/5,-67,6.8,10,68.9,25.49,0,187,1
2/2/2023 16:00,Mote03,qGEKNDQkZg8=,905300000,125,7,4/5,-70,11.8,10,68.99,26.73,0,14341,1
2/2/2023 16:00,Mote02,qGEKNDExiAs=,904100000,125,1,4/5,-64,12.5,10,68.49,27.1,0,12329,1
2/2/2023 16:00,Mote01,qGEKMzVBjAY=,904700000,125,4,4/5,-82,9.8,10,68.77,25.17,0,14203,1
2/2/2023 16:00,Mote05,qGEKMzA3fwE=,904900000,125,5,4/5,-69,8.2,10,68.9,25.57,0,188,1
2/2/2023 16:00,Mote04,qGEKNDBFiQo=,904300000,125,2,4/5,-61,7.8,10,69.01,24.68,0,13688,1
2/2/2023 16:01,Mote04,qGEKNDBFiQo=,904500000,125,3,4/5,-60,10.5,10,68.99,24.74,0,13689,1
2/2/2023 16:02,Mote02,qGEKNDExiAs=,903900000,125,0,4/5,-66,12.8,10,68.47,27.3,0,12331,1
2/2/2023 16:03,Mote01,qGEKMzVBjAY=,905100000,125,6,4/5,-82,11.2,10,68.72,25.39,0,14205,1
